supplier,scenario,rts,theta,active_criteria,current_price,current_late_pct,current_error_pct,current_lead_days,current_quality_score,current_purchase,target_price,target_late_pct,target_error_pct,target_lead_days,target_quality_score,target_purchase,price_improvement,late_improvement,error_improvement,lead_improvement,quality_gain,purchase_gain,perturbed_parameter,perturbation_direction,delta
E,balanced_improvement,CCR,0.12034891038157744,"price,late,error,lead,quality",3.268,4.0,7.0,2.0,0.338,3249.0,2.33818979708804,1.3620534854687092,1.7299110067307126,1.7299110067307126,0.40705749469917235,49328.73661968949,0.9298102029119599,2.637946514531291,5.270088993269288,0.27008899326928737,0.06905749469917233,46079.73661968949,price,minus,0.05
E,cost_led_development,CCR,0.14721714873899266,"price,late,error,lead,quality",3.268,4.0,7.0,2.0,0.338,3249.0,1.9326000049788776,1.910130460794897,1.987405321511238,1.987405321511238,0.40929018563463476,42654.53300965254,1.3353999950211222,2.089869539205103,5.012594678488762,0.012594678488762057,0.07129018563463474,39405.53300965254,price,minus,0.05
E,delivery_reliability_led,CCR,0.07142957142857141,"price,late,error,lead,quality",3.268,4.0,7.0,2.0,0.338,3249.0,2.447707915039946,1.0104057440825371,1.5156086161238056,1.5156086161238056,0.3875411231428571,50642.12192874833,0.8202920849600539,2.9895942559174626,5.484391383876194,0.4843913838761944,0.04954112314285708,47393.12192874833,price,minus,0.05
E,product_quality_led,CCR,0.11538561538461538,"price,late,error,lead,quality",3.268,4.0,7.0,2.0,0.338,3249.0,2.9772703198519905,1.229007355976054,1.8435110339640808,1.8435110339640808,0.47138577138461546,61598.56150578629,0.29072968014800926,2.770992644023946,5.156488966035919,0.15648896603591922,0.13338577138461544,58349.56150578629,price,minus,0.05
C,balanced_improvement,CCR,0.12022996013075667,"price,late,error,lead,quality",2.0235,6.0,6.0,4.0,0.4359,2714.73,1.5421879622357582,3.305060687966426,3.7525469278517507,3.256996123632839,0.5329636933913812,33911.99916652654,0.4813120377642417,2.694939312033574,2.2474530721482493,0.7430038763671609,0.09706369339138116,31197.26916652654,price,minus,0.05
C,cost_led_development,CCR,0.11560192212279195,"price,late,error,lead,quality",2.0235,6.0,6.0,4.0,0.4359,2714.73,1.2153296522208135,3.897815457708518,4.445822418890115,3.8374957178753837,0.5667278029681073,27163.316225797127,0.8081703477791864,2.102184542291482,1.5541775811098848,0.16250428212461632,0.1308278029681073,24448.586225797128,price,minus,0.05
C,delivery_reliability_led,CCR,0.08521226698343229,"price,late,error,lead,quality",2.0235,6.0,6.0,4.0,0.4359,2714.73,1.8450491950666048,2.196300150179014,3.1582426067970824,2.771492094127849,0.4718872449813619,36947.180884010006,0.17845080493339505,3.803699849820986,2.8417573932029176,1.228507905872151,0.03598724498136191,34232.45088401,price,minus,0.05
C,product_quality_led,CCR,0.11728619536089015,"price,late,error,lead,quality",2.0235,6.0,6.0,4.0,0.4359,2714.73,2.0235,3.937075485587254,3.7598674001704824,3.593740593369446,0.6221757521287004,47835.06819273875,0.0,2.062924514412746,2.2401325998295176,0.40625940663055404,0.18627575212870034,45120.338192738745,price,minus,0.05
K,balanced_improvement,CCR,0.12253555042708063,"price,late,error,lead,quality",1.2635,3.0,3.0,7.0,0.2691,2245.0,0.9730697887675374,2.1252157469904125,2.3457793908612143,2.4959326974825222,0.34099319085936397,22266.334281066458,0.2904302112324627,0.8747842530095875,0.6542206091387857,4.504067302517478,0.07189319085936396,20021.334281066458,price,minus,0.05
K,cost_led_development,CCR,0.12373160956120843,"price,late,error,lead,quality",1.2635,3.0,3.0,7.0,0.2691,2245.0,0.7787417709567124,2.604477934769608,2.7042028528147024,2.4111860762306474,0.36284971402617944,18709.308622825243,0.4847582290432877,0.3955220652303919,0.2957971471852976,4.588813923769353,0.09374971402617943,16464.308622825243,price,minus,0.05
K,delivery_reliability_led,CCR,0.08607804417678337,"price,late,error,lead,quality",1.2635,3.0,3.0,7.0,0.2691,2245.0,1.159107427851154,1.3894929923004509,1.8924868387382072,1.9765974990227306,0.2949413719493863,24046.702352072614,0.10439257214884612,1.6105070076995491,1.1075131612617928,5.023402500977269,0.025841371949386294,21801.702352072614,price,minus,0.05
K,product_quality_led,CCR,0.10831441004336617,"price,late,error,lead,quality",1.2635,3.0,3.0,7.0,0.2691,2245.0,1.2635,2.3723418011311703,3.0000000000000004,2.7077619345785195,0.4145061935810054,26424.722469931814,0.0,0.6276581988688297,-4.440892098500626e-16,4.292238065421481,0.14540619358100537,24179.722469931814,price,minus,0.05
J,balanced_improvement,CCR,0.11790247205712673,"price,late,error,lead,quality",1.4249999999999998,6.0,4.0,7.0,0.3421,12091.1,1.1246082601473257,3.325886230195837,3.0862408506538532,3.085773481350292,0.46147547280903833,28635.59686586856,0.3003917398526741,2.674113769804163,0.9137591493461468,3.914226518649708,0.11937547280903832,16544.49686586856,price,minus,0.05
J,cost_led_development,CCR,0.1381377526482586,"price,late,error,lead,quality",1.4249999999999998,6.0,4.0,7.0,0.3421,12091.1,0.9820309001587084,3.22131322442412,3.823856795716006,3.1559248941927684,0.47222434358693677,21146.020755427533,0.4429690998412914,2.77868677557588,0.17614320428399388,3.8440751058072316,0.13012434358693675,9054.920755427533,price,minus,0.05
J,delivery_reliability_led,CCR,0.08557477469592183,"price,late,error,lead,quality",1.4249999999999998,6.0,4.0,7.0,0.3421,12091.1,1.3194372958495388,2.104353972121302,2.535935901899998,2.5352919718047975,0.38405054672655875,28467.71449656996,0.10556270415046098,3.895646027878698,1.464064098100002,4.4647080281952025,0.041950546726558735,16376.614496569959,price,minus,0.05
J,product_quality_led,CCR,0.11700314203052592,"price,late,error,lead,quality",1.4249999999999998,6.0,4.0,7.0,0.3421,12091.1,1.4249999999999998,4.090725526551875,3.679275121677351,3.510319305590416,0.5648641918149125,36388.966710158995,0.0,1.909274473448125,0.32072487832264907,3.489680694409584,0.22276419181491253,24297.866710158996,price,minus,0.05
F,balanced_improvement,CCR,0.11898773437896945,"price,late,error,lead,quality",2.831,4.0,6.0,4.0,0.3934,2503.0,1.9828495137885223,2.7952184510432576,3.3791435230107334,3.0023705033806145,0.5317173751814099,42164.59204818675,0.8481504862114777,1.2047815489567424,2.6208564769892666,0.9976294966193855,0.1383173751814099,39661.59204818675,price,minus,0.05
F,cost_led_development,CCR,0.12617536882373254,"price,late,error,lead,quality",2.831,4.0,6.0,4.0,0.3934,2503.0,1.4919648847405091,3.527586333882833,4.140931529957677,3.999472709643875,0.5625309120742462,32846.33873491789,1.3390351152594908,0.4724136661171672,1.859068470042323,0.0005272903561248654,0.1691309120742462,30343.33873491789,price,minus,0.05
F,delivery_reliability_led,CCR,0.07741452399831068,"price,late,error,lead,quality",2.831,4.0,6.0,4.0,0.3934,2503.0,2.35808686011177,1.7931994001414229,2.4965422112627147,2.2998471733754218,0.47052322902781324,48603.54739705835,0.47291313988823,2.2068005998585773,3.5034577887372853,1.7001528266245782,0.07712322902781321,46100.54739705835,price,minus,0.05
F,product_quality_led,CCR,0.11286382082596567,"price,late,error,lead,quality",2.831,4.0,6.0,4.0,0.3934,2503.0,2.8310000000000004,3.263634411823955,3.572079362463966,3.3906006733897227,0.6577956117282813,61989.246891230534,-4.440892098500626e-16,0.7363655881760449,2.427920637536034,0.6093993266102773,0.26439561172828124,59486.246891230534,price,minus,0.05
L,balanced_improvement,CCR,0.11617643445467926,"price,late,error,lead,quality",1.843,9.0,6.0,7.0,0.4372,14723.0,1.4401420708546453,4.288648043075181,4.430047183170195,4.180431815660388,0.6145018096222009,34512.18626889116,0.4028579291453547,4.711351956924819,1.5699528168298054,2.8195681843396123,0.17730180962220093,19789.186268891157,price,minus,0.05
L,cost_led_development,CCR,0.13889305613366593,"price,late,error,lead,quality",1.843,9.0,6.0,7.0,0.4372,14723.0,1.263237320199725,3.833238343980895,5.7224830502503785,4.299683563608059,0.6252088214423894,21451.891044749158,0.5797626798002751,5.166761656019105,0.2775169497496215,2.700316436391941,0.18800882144238945,6728.891044749158,price,minus,0.05
L,delivery_reliability_led,CCR,0.08409710698701663,"price,late,error,lead,quality",1.843,9.0,6.0,7.0,0.4372,14723.0,1.6901406816221205,2.702839604320613,3.5142101149097518,3.3691237795687123,0.5044749170495672,35209.073242371975,0.15285931837787947,6.297160395679387,2.4857898850902482,3.6308762204312877,0.06727491704956717,20486.073242371975,price,minus,0.05
L,product_quality_led,CCR,0.11678290425376996,"price,late,error,lead,quality",1.843,9.0,6.0,7.0,0.4372,14723.0,1.843,5.3315984221713055,5.382801234506313,4.836826012453008,0.7614328561804937,44253.872683473484,0.0,3.6684015778286945,0.6171987654936872,2.163173987546992,0.32423285618049374,29530.872683473484,price,minus,0.05
A,balanced_improvement,CCR,0.0,"",1.4070000000000003,3.0,8.0,5.0,0.6794,5640.8,1.4070000000000003,3.0,8.0,5.0,0.6794,5640.8,0.0,0.0,0.0,0.0,0.0,0.0,price,plus,0.05
A,cost_led_development,CCR,0.0,"",1.4070000000000003,3.0,8.0,5.0,0.6794,5640.8,1.4070000000000003,3.0,8.0,5.0,0.6794,5640.8,0.0,0.0,0.0,0.0,0.0,0.0,price,plus,0.05
A,delivery_reliability_led,CCR,0.0,"",1.4070000000000003,3.0,8.0,5.0,0.6794,5640.8,1.4070000000000003,3.0,8.0,5.0,0.6794,5640.8,0.0,0.0,0.0,0.0,0.0,0.0,price,plus,0.05
A,product_quality_led,CCR,0.0,"",1.4070000000000003,3.0,8.0,5.0,0.6794,5640.8,1.4070000000000003,3.0,8.0,5.0,0.6794,5640.8,0.0,0.0,0.0,0.0,0.0,0.0,price,plus,0.05
B,balanced_improvement,CCR,0.0,"",1.512,5.0,4.0,4.0,0.6285,38948.61,1.512,5.0,4.0,4.0,0.6285,38948.61,0.0,0.0,0.0,0.0,0.0,0.0,price,plus,0.05
B,cost_led_development,CCR,0.0,"",1.512,5.0,4.0,4.0,0.6285,38948.61,1.512,5.0,4.0,4.0,0.6285,38948.61,0.0,0.0,0.0,0.0,0.0,0.0,price,plus,0.05
B,delivery_reliability_led,CCR,0.0,"",1.512,5.0,4.0,4.0,0.6285,38948.61,1.512,5.0,4.0,4.0,0.6285,38948.61,0.0,0.0,0.0,0.0,0.0,0.0,price,plus,0.05
B,product_quality_led,CCR,0.0,"",1.512,5.0,4.0,4.0,0.6285,38948.61,1.512,5.0,4.0,4.0,0.6285,38948.61,0.0,0.0,0.0,0.0,0.0,0.0,price,plus,0.05
G,balanced_improvement,CCR,0.0,"",1.4070000000000003,1.0,3.0,2.0,0.1073,108124.5,1.4070000000000003,1.0,3.0,2.0,0.1073,108124.5,0.0,0.0,0.0,0.0,0.0,0.0,price,plus,0.05
G,cost_led_development,CCR,0.0,"",1.4070000000000003,1.0,3.0,2.0,0.1073,108124.5,1.4070000000000003,1.0,3.0,2.0,0.1073,108124.5,0.0,0.0,0.0,0.0,0.0,0.0,price,plus,0.05
G,delivery_reliability_led,CCR,0.0,"",1.4070000000000003,1.0,3.0,2.0,0.1073,108124.5,1.4070000000000003,1.0,3.0,2.0,0.1073,108124.5,0.0,0.0,0.0,0.0,0.0,0.0,price,plus,0.05
G,product_quality_led,CCR,0.0,"",1.4070000000000003,1.0,3.0,2.0,0.1073,108124.5,1.4070000000000003,1.0,3.0,2.0,0.1073,108124.5,0.0,0.0,0.0,0.0,0.0,0.0,price,plus,0.05
H,balanced_improvement,CCR,0.0,"",5.3549999999999995,2.0,3.0,3.0,0.7671,100241.16,5.3549999999999995,2.0,3.0,3.0,0.7671,100241.16,0.0,0.0,0.0,0.0,0.0,0.0,price,plus,0.05
H,cost_led_development,CCR,0.0,"",5.3549999999999995,2.0,3.0,3.0,0.7671,100241.16,5.3549999999999995,2.0,3.0,3.0,0.7671,100241.16,0.0,0.0,0.0,0.0,0.0,0.0,price,plus,0.05
H,delivery_reliability_led,CCR,0.0,"",5.3549999999999995,2.0,3.0,3.0,0.7671,100241.16,5.3549999999999995,2.0,3.0,3.0,0.7671,100241.16,0.0,0.0,0.0,0.0,0.0,0.0,price,plus,0.05
H,product_quality_led,CCR,0.0,"",5.3549999999999995,2.0,3.0,3.0,0.7671,100241.16,5.3549999999999995,2.0,3.0,3.0,0.7671,100241.16,0.0,0.0,0.0,0.0,0.0,0.0,price,plus,0.05
I,balanced_improvement,CCR,0.0,"",1.47,1.0,3.0,4.0,0.3522,21985.05,1.47,1.0,3.0,4.0,0.3522,21985.05,0.0,0.0,0.0,0.0,0.0,0.0,price,plus,0.05
I,cost_led_development,CCR,0.0,"",1.47,1.0,3.0,4.0,0.3522,21985.05,1.47,1.0,3.0,4.0,0.3522,21985.05,0.0,0.0,0.0,0.0,0.0,0.0,price,plus,0.05
I,delivery_reliability_led,CCR,0.0,"",1.47,1.0,3.0,4.0,0.3522,21985.05,1.47,1.0,3.0,4.0,0.3522,21985.05,0.0,0.0,0.0,0.0,0.0,0.0,price,plus,0.05
I,product_quality_led,CCR,0.0,"",1.47,1.0,3.0,4.0,0.3522,21985.05,1.47,1.0,3.0,4.0,0.3522,21985.05,0.0,0.0,0.0,0.0,0.0,0.0,price,plus,0.05
D,balanced_improvement,CCR,0.13915166525966846,"price,late,error,lead,quality",2.1105,9.0,3.0,5.0,0.4216,13574.56,1.771013184661072,2.6873678491963973,2.7247594822957137,2.882064665651966,0.45755801690266495,36971.848082137374,0.3394868153389281,6.312632150803603,0.27524051770428626,2.117935334348034,0.03595801690266498,23397.288082137376,price,plus,0.05
D,cost_led_development,CCR,0.1437312428943155,"price,late,error,lead,quality",2.1105,9.0,3.0,5.0,0.4216,13574.56,1.4528881688551927,3.254794069895722,2.9621919874828846,3.0806140327232354,0.4718391893620532,32921.12653005436,0.6576118311448074,5.745205930104278,0.03780801251711541,1.9193859672767646,0.05023918936205324,19346.566530054362,price,plus,0.05
D,delivery_reliability_led,CCR,0.09635600315381536,"price,late,error,lead,quality",2.1105,9.0,3.0,5.0,0.4216,13574.56,2.0698386116581315,1.8775305167274472,2.444007091867782,2.712665716452273,0.42590680316059704,39616.5980539617,0.0406613883418685,7.122469483272553,0.5559929081322181,2.287334283547727,0.004306803160597061,26042.038053961704,price,plus,0.05
