supplier,scenario,rts,optimised_criterion,price,late,error,lead,quality
G,delivery_reliability_led,CCR,late,1.34,1.0,3.0,2.0,-0.1073
G,delivery_reliability_led,CCR,error,1.34,1.0,3.0,2.0,-0.1073
G,delivery_reliability_led,CCR,lead,1.34,1.0,3.0,2.0,-0.1073
G,delivery_reliability_led,CCR,quality,1.34,1.0,3.0,2.0,-0.1073
G,delivery_reliability_led,CCR,ideal,1.34,1.0,3.0,2.0,-0.1073
G,delivery_reliability_led,CCR,nadir,1.34,1.0,3.0,2.0,-0.1073
G,product_quality_led,CCR,price,1.34,1.0,3.0,2.0,-0.1073
G,product_quality_led,CCR,late,1.34,1.0,3.0,2.0,-0.1073
G,product_quality_led,CCR,error,1.34,1.0,3.0,2.0,-0.1073
G,product_quality_led,CCR,lead,1.34,1.0,3.0,2.0,-0.1073
G,product_quality_led,CCR,quality,1.34,1.0,3.0,2.0,-0.1073
G,product_quality_led,CCR,ideal,1.34,1.0,3.0,2.0,-0.1073
G,product_quality_led,CCR,nadir,1.34,1.0,3.0,2.0,-0.1073
H,balanced_improvement,CCR,price,5.1,2.0,3.0,3.0,-0.7671
H,balanced_improvement,CCR,late,5.1,2.0,3.0,3.0,-0.7671
H,balanced_improvement,CCR,error,5.1,2.0,3.0,3.0,-0.7671
H,balanced_improvement,CCR,lead,5.1,2.0,3.0,3.0,-0.7671
H,balanced_improvement,CCR,quality,5.1,2.0,3.0,3.0,-0.7671
H,balanced_improvement,CCR,ideal,5.1,2.0,3.0,3.0,-0.7671
H,balanced_improvement,CCR,nadir,5.1,2.0,3.0,3.0,-0.7671
H,cost_led_development,CCR,price,5.1,2.0,3.0,3.0,-0.7671
H,cost_led_development,CCR,late,5.1,2.0,3.0,3.0,-0.7671
H,cost_led_development,CCR,error,5.1,2.0,3.0,3.0,-0.7671
H,cost_led_development,CCR,lead,5.1,2.0,3.0,3.0,-0.7671
H,cost_led_development,CCR,quality,5.1,2.0,3.0,3.0,-0.7671
H,cost_led_development,CCR,ideal,5.1,2.0,3.0,3.0,-0.7671
H,cost_led_development,CCR,nadir,5.1,2.0,3.0,3.0,-0.7671
H,delivery_reliability_led,CCR,price,5.1,2.0,3.0,3.0,-0.7671
H,delivery_reliability_led,CCR,late,5.1,2.0,3.0,3.0,-0.7671
H,delivery_reliability_led,CCR,error,5.1,2.0,3.0,3.0,-0.7671
H,delivery_reliability_led,CCR,lead,5.1,2.0,3.0,3.0,-0.7671
H,delivery_reliability_led,CCR,quality,5.1,2.0,3.0,3.0,-0.7671
H,delivery_reliability_led,CCR,ideal,5.1,2.0,3.0,3.0,-0.7671
H,delivery_reliability_led,CCR,nadir,5.1,2.0,3.0,3.0,-0.7671
H,product_quality_led,CCR,price,5.1,2.0,3.0,3.0,-0.7671
H,product_quality_led,CCR,late,5.1,2.0,3.0,3.0,-0.7671
H,product_quality_led,CCR,error,5.1,2.0,3.0,3.0,-0.7671
H,product_quality_led,CCR,lead,5.1,2.0,3.0,3.0,-0.7671
H,product_quality_led,CCR,quality,5.1,2.0,3.0,3.0,-0.7671
H,product_quality_led,CCR,ideal,5.1,2.0,3.0,3.0,-0.7671
H,product_quality_led,CCR,nadir,5.1,2.0,3.0,3.0,-0.7671
I,balanced_improvement,CCR,price,1.4,1.0,3.0,4.0,-0.3522
I,balanced_improvement,CCR,late,1.4,1.0,3.0,4.0,-0.3522
I,balanced_improvement,CCR,error,1.4,1.0,3.0,4.0,-0.3522
I,balanced_improvement,CCR,lead,1.4,1.0,3.0,4.0,-0.3522
I,balanced_improvement,CCR,quality,1.4,1.0,3.0,4.0,-0.3522
I,balanced_improvement,CCR,ideal,1.4,1.0,3.0,4.0,-0.3522
I,balanced_improvement,CCR,nadir,1.4,1.0,3.0,4.0,-0.3522
I,cost_led_development,CCR,price,1.4,1.0,3.0,4.0,-0.3522
I,cost_led_development,CCR,late,1.4,1.0,3.0,4.0,-0.3522
I,cost_led_development,CCR,error,1.4,1.0,3.0,4.0,-0.3522
I,cost_led_development,CCR,lead,1.4,1.0,3.0,4.0,-0.3522
I,cost_led_development,CCR,quality,1.4,1.0,3.0,4.0,-0.3522
I,cost_led_development,CCR,ideal,1.4,1.0,3.0,4.0,-0.3522
I,cost_led_development,CCR,nadir,1.4,1.0,3.0,4.0,-0.3522
I,delivery_reliability_led,CCR,price,1.4,1.0,3.0,4.0,-0.3522
I,delivery_reliability_led,CCR,late,1.4,1.0,3.0,4.0,-0.3522
I,delivery_reliability_led,CCR,error,1.4,1.0,3.0,4.0,-0.3522
I,delivery_reliability_led,CCR,lead,1.4,1.0,3.0,4.0,-0.3522
I,delivery_reliability_led,CCR,quality,1.4,1.0,3.0,4.0,-0.3522
I,delivery_reliability_led,CCR,ideal,1.4,1.0,3.0,4.0,-0.3522
I,delivery_reliability_led,CCR,nadir,1.4,1.0,3.0,4.0,-0.3522
I,product_quality_led,CCR,price,1.4,1.0,3.0,4.0,-0.3522
I,product_quality_led,CCR,late,1.4,1.0,3.0,4.0,-0.3522
I,product_quality_led,CCR,error,1.4,1.0,3.0,4.0,-0.3522
I,product_quality_led,CCR,lead,1.4,1.0,3.0,4.0,-0.3522
I,product_quality_led,CCR,quality,1.4,1.0,3.0,4.0,-0.3522
I,product_quality_led,CCR,ideal,1.4,1.0,3.0,4.0,-0.3522
I,product_quality_led,CCR,nadir,1.4,1.0,3.0,4.0,-0.3522
D,balanced_improvement,CCR,price,0.9472896468144045,3.1467711218836567,3.0,2.7414733379501386,-0.4216
D,balanced_improvement,CCR,late,2.01,1.1831134072549887,3.0,3.8281452218041876,-0.4216
D,balanced_improvement,CCR,error,2.0099999999999993,2.0725249270966324,2.0953227598458817,2.0953227598458817,-0.4216
D,balanced_improvement,CCR,lead,2.0099999999999993,2.0725249270966324,2.0953227598458817,2.0953227598458817,-0.4216
D,balanced_improvement,CCR,quality,2.01,3.345149253731343,3.0,3.0,-0.5397889925373134
D,balanced_improvement,CCR,ideal,0.9472896468144045,1.1831134072549887,2.0953227598458817,2.0953227598458817,-0.5397889925373134
D,balanced_improvement,CCR,nadir,2.01,3.345149253731343,3.0,3.8281452218041876,-0.4216
D,cost_led_development,CCR,price,0.9472896468144045,3.1467711218836567,3.0,2.7414733379501386,-0.4216
D,cost_led_development,CCR,late,2.01,1.1831134072549887,3.0,3.8281452218041876,-0.4216
D,cost_led_development,CCR,error,2.0099999999999993,2.0725249270966324,2.0953227598458817,2.0953227598458817,-0.4216
D,cost_led_development,CCR,lead,2.0099999999999993,2.0725249270966324,2.0953227598458817,2.0953227598458817,-0.4216
D,cost_led_development,CCR,quality,2.01,3.345149253731343,3.0,3.0,-0.5397889925373134
D,cost_led_development,CCR,ideal,0.9472896468144045,1.1831134072549887,2.0953227598458817,2.0953227598458817,-0.5397889925373134
D,cost_led_development,CCR,nadir,2.01,3.345149253731343,3.0,3.8281452218041876,-0.4216
D,delivery_reliability_led,CCR,price,0.9472896468144045,3.1467711218836567,3.0,2.7414733379501386,-0.4216
D,delivery_reliability_led,CCR,late,2.01,1.1831134072549887,3.0,3.8281452218041876,-0.4216
D,delivery_reliability_led,CCR,error,2.0099999999999993,2.0725249270966324,2.0953227598458817,2.0953227598458817,-0.4216
D,delivery_reliability_led,CCR,lead,2.0099999999999993,2.0725249270966324,2.0953227598458817,2.0953227598458817,-0.4216
D,delivery_reliability_led,CCR,quality,2.01,3.345149253731343,3.0,3.0,-0.5397889925373134
D,delivery_reliability_led,CCR,ideal,0.9472896468144045,1.1831134072549887,2.0953227598458817,2.0953227598458817,-0.5397889925373134
D,delivery_reliability_led,CCR,nadir,2.01,3.345149253731343,3.0,3.8281452218041876,-0.4216
D,product_quality_led,CCR,price,0.9472896468144045,3.1467711218836567,3.0,2.7414733379501386,-0.4216
D,product_quality_led,CCR,late,2.01,1.1831134072549887,3.0,3.8281452218041876,-0.4216
D,product_quality_led,CCR,error,2.0099999999999993,2.0725249270966324,2.0953227598458817,2.0953227598458817,-0.4216
D,product_quality_led,CCR,lead,2.0099999999999993,2.0725249270966324,2.0953227598458817,2.0953227598458817,-0.4216
D,product_quality_led,CCR,quality,2.01,3.345149253731343,3.0,3.0,-0.5397889925373134
D,product_quality_led,CCR,ideal,0.9472896468144045,1.1831134072549887,2.0953227598458817,2.0953227598458817,-0.5397889925373134
D,product_quality_led,CCR,nadir,2.01,3.345149253731343,3.0,3.8281452218041876,-0.4216
E,balanced_improvement,CCR,price,1.0428506213542994,2.3594555752810886,2.0,2.0,-0.338
E,balanced_improvement,CCR,late,2.2471646460696126,0.881241037674358,1.321861556511537,1.321861556511537,-0.338
E,balanced_improvement,CCR,error,2.2471646460696126,0.881241037674358,1.321861556511537,1.321861556511537,-0.338
E,balanced_improvement,CCR,lead,2.2471646460696126,0.881241037674358,1.321861556511537,1.321861556511537,-0.338
E,balanced_improvement,CCR,quality,3.3999999999999995,1.3333333333333333,2.0,2.0,-0.5114
E,balanced_improvement,CCR,ideal,1.0428506213542994,0.881241037674358,1.321861556511537,1.321861556511537,-0.5114
E,balanced_improvement,CCR,nadir,3.3999999999999995,2.3594555752810886,2.0,2.0,-0.338
E,cost_led_development,CCR,price,1.0428506213542994,2.3594555752810886,2.0,2.0,-0.338
E,cost_led_development,CCR,late,2.2471646460696126,0.881241037674358,1.321861556511537,1.321861556511537,-0.338
E,cost_led_development,CCR,error,2.2471646460696126,0.881241037674358,1.321861556511537,1.321861556511537,-0.338
E,cost_led_development,CCR,lead,2.2471646460696126,0.881241037674358,1.321861556511537,1.321861556511537,-0.338
E,cost_led_development,CCR,quality,3.3999999999999995,1.3333333333333333,2.0,2.0,-0.5114
E,cost_led_development,CCR,ideal,1.0428506213542994,0.881241037674358,1.321861556511537,1.321861556511537,-0.5114
E,cost_led_development,CCR,nadir,3.3999999999999995,2.3594555752810886,2.0,2.0,-0.338
E,delivery_reliability_led,CCR,price,1.0428506213542994,2.3594555752810886,2.0,2.0,-0.338
E,delivery_reliability_led,CCR,late,2.2471646460696126,0.881241037674358,1.321861556511537,1.321861556511537,-0.338
E,delivery_reliability_led,CCR,error,2.2471646460696126,0.881241037674358,1.321861556511537,1.321861556511537,-0.338
E,delivery_reliability_led,CCR,lead,2.2471646460696126,0.881241037674358,1.321861556511537,1.321861556511537,-0.338
E,delivery_reliability_led,CCR,quality,3.3999999999999995,1.3333333333333333,2.0,2.0,-0.5114
E,delivery_reliability_led,CCR,ideal,1.0428506213542994,0.881241037674358,1.321861556511537,1.321861556511537,-0.5114
E,delivery_reliability_led,CCR,nadir,3.3999999999999995,2.3594555752810886,2.0,2.0,-0.338
E,product_quality_led,CCR,price,1.0428506213542994,2.3594555752810886,2.0,2.0,-0.338
E,product_quality_led,CCR,late,2.2471646460696126,0.881241037674358,1.321861556511537,1.321861556511537,-0.338
E,product_quality_led,CCR,error,2.2471646460696126,0.881241037674358,1.321861556511537,1.321861556511537,-0.338
E,product_quality_led,CCR,lead,2.2471646460696126,0.881241037674358,1.321861556511537,1.321861556511537,-0.338
E,product_quality_led,CCR,quality,3.3999999999999995,1.3333333333333333,2.0,2.0,-0.5114
E,product_quality_led,CCR,ideal,1.0428506213542994,0.881241037674358,1.321861556511537,1.321861556511537,-0.5114
E,product_quality_led,CCR,nadir,3.3999999999999995,2.3594555752810886,2.0,2.0,-0.338
C,balanced_improvement,CCR,price,0.8597380041212835,1.9247865763909333,5.132764203709155,3.207977627318222,-0.4359
C,balanced_improvement,CCR,late,2.13,1.2031608240571523,3.0282978900149526,3.844002325967769,-0.4359
C,balanced_improvement,CCR,error,2.13,2.079211186989641,2.137211135578843,2.137211135578843,-0.43590000000000007
C,balanced_improvement,CCR,lead,2.13,2.079211186989641,2.137211135578843,2.137211135578843,-0.43590000000000007
C,balanced_improvement,CCR,quality,2.13,4.699626865671642,4.0,4.0,-0.6792587686567164
C,balanced_improvement,CCR,ideal,0.8597380041212835,1.2031608240571523,2.137211135578843,2.137211135578843,-0.6792587686567164
C,balanced_improvement,CCR,nadir,2.13,4.699626865671642,5.132764203709155,4.0,-0.4359
C,cost_led_development,CCR,price,0.8597380041212835,1.9247865763909333,5.132764203709155,3.207977627318222,-0.4359
C,cost_led_development,CCR,late,2.13,1.2031608240571523,3.0282978900149526,3.844002325967769,-0.4359
C,cost_led_development,CCR,error,2.13,2.079211186989641,2.137211135578843,2.137211135578843,-0.43590000000000007
C,cost_led_development,CCR,lead,2.13,2.079211186989641,2.137211135578843,2.137211135578843,-0.43590000000000007
C,cost_led_development,CCR,quality,2.13,4.699626865671642,4.0,4.0,-0.6792587686567164
C,cost_led_development,CCR,ideal,0.8597380041212835,1.2031608240571523,2.137211135578843,2.137211135578843,-0.6792587686567164
