supplier,scenario,robustness_index_parameter,theta_min,theta_max,target_price_range,target_late_range,target_error_range,target_lead_range,target_quality_range,target_purchase_range,run_count
D,balanced_improvement,8.559688641721049e-34,0.13915166525966846,0.13915166525966857,0.16866792234867378,0.2687367849196405,0.27247594822957266,0.288206466565196,0.045755801690266606,2.1827872842550278e-11,10
D,cost_led_development,8.131704209634996e-33,0.14373124289431524,0.1437312428943155,0.13837030179573295,0.3254794069895719,0.29621919874829095,0.3080614032723257,0.04718391893620555,5.820766091346741e-11,10
D,delivery_reliability_led,1.4123486258839729e-33,0.0963560031538153,0.09635600315381541,0.19712748682458425,0.18775305167274503,0.24440070918677925,0.27126657164522694,0.04259068031605956,2.9103830456733704e-11,10
D,product_quality_led,2.473750017457383e-32,0.11538561538461502,0.11538561538461546,0.2010000000000003,0.2846232318116799,0.3000000000000007,0.31909697668217696,0.051251437326610416,5.820766091346741e-11,10
E,balanced_improvement,2.5679065925163143e-34,0.12034891038157743,0.12034891038157748,0.24612524179874162,0.13620534854687105,0.17299110067307177,0.172991100673072,0.04070574946991723,2.1827872842550278e-11,10
E,cost_led_development,6.847750913376838e-34,0.1472171487389926,0.1472171487389927,0.20343157947146118,0.19101304607948966,0.19874053215112486,0.19874053215112486,0.040929018563463426,1.4551915228366852e-11,10
E,delivery_reliability_led,4.921820968989602e-34,0.07142957142857138,0.07142957142857145,0.2576534647410469,0.10104057440825376,0.15156086161238114,0.15156086161238136,0.03875411231428583,7.275957614183426e-12,10
E,product_quality_led,8.131704209634996e-34,0.11538561538461531,0.11538561538461542,0.3133968757738934,0.1229007355976055,0.18435110339640848,0.18435110339640826,0.04713857713846148,7.275957614183426e-12,10
F,balanced_improvement,1.7119377283442096e-34,0.11898773437896942,0.11898773437896946,0.20872100145142314,0.27952184510432554,0.3379143523010737,0.3002370503380747,0.05317173751814108,3.637978807091713e-11,10
F,cost_led_development,1.7975346147614202e-33,0.1261753688237324,0.12617536882373254,0.15704893523584307,0.3527586333882837,0.4140931529957683,0.3999472709643821,0.05625309120742461,5.093170329928398e-11,10
