supplier,scenario,rts,peer_supplier,lambda_value,perturbed_parameter,perturbation_direction,delta
F,delivery_reliability_led,CCR,H,0.4202666989425931,price,minus,0.05
F,delivery_reliability_led,CCR,I,0.026175059485327706,price,minus,0.05
F,product_quality_led,CCR,A,0.060492896358081104,price,minus,0.05
F,product_quality_led,CCR,B,0.4385992550072142,price,minus,0.05
F,product_quality_led,CCR,H,0.44457972385682026,price,minus,0.05
L,balanced_improvement,CCR,A,0.12481340951964348,price,minus,0.05
L,balanced_improvement,CCR,B,0.7505740303814333,price,minus,0.05
L,balanced_improvement,CCR,H,0.018256400779980076,price,minus,0.05
L,balanced_improvement,CCR,I,0.12482486104912406,price,minus,0.05
L,cost_led_development,CCR,A,0.4742664955474398,price,minus,0.05
L,cost_led_development,CCR,B,0.48208777146771503,price,minus,0.05
L,delivery_reliability_led,CCR,A,0.11901006153332172,price,minus,0.05
L,delivery_reliability_led,CCR,B,0.36414293737890935,price,minus,0.05
L,delivery_reliability_led,CCR,H,0.1565754417835878,price,minus,0.05
L,delivery_reliability_led,CCR,I,0.21194384925892576,price,minus,0.05
L,product_quality_led,CCR,A,0.18199174068443486,price,minus,0.05
L,product_quality_led,CCR,B,0.9290192831846195,price,minus,0.05
L,product_quality_led,CCR,H,0.07026339209745205,price,minus,0.05
A,balanced_improvement,CCR,A,1.0,price,plus,0.05
A,cost_led_development,CCR,A,1.0,price,plus,0.05
A,delivery_reliability_led,CCR,A,1.0,price,plus,0.05
A,product_quality_led,CCR,A,1.0,price,plus,0.05
B,balanced_improvement,CCR,B,1.0,price,plus,0.05
B,cost_led_development,CCR,B,1.0,price,plus,0.05
B,delivery_reliability_led,CCR,B,1.0,price,plus,0.05
B,product_quality_led,CCR,B,1.0,price,plus,0.05
G,balanced_improvement,CCR,G,1.0,price,plus,0.05
G,cost_led_development,CCR,G,1.0,price,plus,0.05
G,delivery_reliability_led,CCR,G,1.0,price,plus,0.05
G,product_quality_led,CCR,G,1.0,price,plus,0.05
H,balanced_improvement,CCR,H,1.0,price,plus,0.05
H,cost_led_development,CCR,H,1.0,price,plus,0.05
H,delivery_reliability_led,CCR,H,1.0,price,plus,0.05
H,product_quality_led,CCR,H,1.0,price,plus,0.05
